movieId,title,genres,image
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg
23,Assassins (1995),Action|Crime|Thriller,/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg
24,Powder (1995),Drama|Sci-Fi,/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas (1995),Drama|Romance,/rl5ROyXACDkiSbO6PnKK6Onnw26.jpg
26,Othello (1995),Drama,/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg
27,Now and Then (1995),Children|Drama,/yQ8xP1WOfatqgUp4e3X8n73itJc.jpg
28,Persuasion (1995),Drama|Romance,/tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,/xQrp6wxaNMXVd259235d1X0LBsw.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,/6mexZlP0XhcXpK7jOwTfcCF9jOT.jpg
31,Dangerous Minds (1995),Drama,/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,/kKoG0hXBmBbkDnJYhhHisdin73W.jpg
34,Babe (1995),Children|Drama,/bjDIp0b5TQRx4kF8l9TKeUANLTp.jpg
36,Dead Man Walking (1995),Crime|Drama,/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg
38,It Takes Two (1995),Children|Comedy,/hD6UwR1KrzY7yX4ENjeDDJkl0h5.jpg
39,Clueless (1995),Comedy|Romance,/71RW4lkES2Dt7vSLSXvekGYNskG.jpg
40,"Cry, the Beloved Country (1995)",Drama,/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg
41,Richard III (1995),Drama|War,/zPRZUNzy7ywbqpnzfXW05JoGsFG.jpg
42,Dead Presidents (1995),Action|Crime|Drama,/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg
43,Restoration (1995),Drama,/pIC5x5ure6YIZH820rAHS7Tysg8.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg
45,To Die For (1995),Comedy|Drama|Thriller,/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg
46,How to Make an American Quilt (1995),Drama|Romance,/vwYRaERccwXWCYrTzeWRZRarJOo.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,/6yoghtyTpznpBik8EngEmJskVUO.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
49,When Night Is Falling (1995),Drama|Romance,/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg
53,Lamerica (1994),Adventure|Drama,/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg
54,"Big Green, The (1995)",Children|Comedy,/qaNHxJjY7zBzHfkIOoGfBBnLoHr.jpg
55,Georgia (1995),Drama,/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg
57,Home for the Holidays (1995),Drama,/a8MslR6deQQVe8JR542XDSwHiPB.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,/6jxwjs285L16lO3XAX7FzfQpREb.jpg
61,Eye for an Eye (1996),Drama|Thriller,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
62,Mr. Holland's Opus (1995),Drama,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg
64,Two if by Sea (1996),Comedy|Romance,/kvQl6sJyplWRQ0BGp0E8kBUQKO8.jpg
65,Bio-Dome (1996),Comedy,/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,/2Zp26DfI6pTqiyHUkL7bMjv28tG.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,/xlLnHizshGBwMiNrnop2kg2nYzE.jpg
69,Friday (1995),Comedy,/eqD0jCDIEJ65CmyG63Jaay6bHDp.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg
71,Fair Game (1995),Action,/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg
72,Kicking and Screaming (1995),Comedy|Drama,/186brkmaBmopqcM0dPs71tj9BfM.jpg
73,"Misérables, Les (1995)",Drama|War,/ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg
74,Bed of Roses (1996),Drama|Romance,/nLRio5v1QHW0Dw4VLmMhC1FZEJc.jpg
75,Big Bully (1996),Comedy|Drama,/iSnrdLPssML8KdmFw7EhKJcm1J3.jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,/oDGJGbzBkNXhCZfZMR6gjtKkKkI.jpg
77,Nico Icon (1995),Documentary,
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,/kogaCIIylHmWQo2gJrrdq8Br8b8.jpg
79,"Juror, The (1996)",Drama|Thriller,/i1EXzLNc4c9Xd0xjCmGavb0Hz9k.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,/8UDknhokRx4vySTcbVzqAS5PsLM.jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,/kATmorfxsxbS0GSKOVJe4qvPLh5.jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,/3kK67rhoS0EJbarFIbxRPyZLvmE.jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,
85,Angels and Insects (1995),Drama|Romance,/qScw5w5NTkmcVvRmrfWmQW4JHpe.jpg
86,White Squall (1996),Action|Adventure|Drama,/5xF4qy44Lvv68glS7eHWH7laTqt.jpg
87,Dunston Checks In (1996),Children|Comedy,/kn0iqDYsWN4b6u9zmhQCIZg19yR.jpg
88,Black Sheep (1996),Comedy,/bV9SCk4QXCi9p1kdDBiYejcMQwK.jpg
89,Nick of Time (1995),Action|Thriller,/A1FJwUVg84sQSjHVz5jVMXQvifJ.jpg
92,Mary Reilly (1996),Drama|Horror|Thriller,/eAOPWQdwytdRaLK3VXi7JFJFqmj.jpg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,/i8ZD5LsBjwF45MsZ1nCClpvaOcn.jpg
94,Beautiful Girls (1996),Comedy|Drama|Romance,/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg
95,Broken Arrow (1996),Action|Adventure|Thriller,/iBPMwYYJFvdCBkXrwV75peo5Lz2.jpg
96,In the Bleak Midwinter (1995),Comedy|Drama,/cl5WtKNYL7porHGCroRTAKCGlTM.jpg
97,"Hate (Haine, La) (1995)",Crime|Drama,/f37UqJ9aJtilApJV4J7N3n9vo3Y.jpg
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,/laPSb9I8TuYslOh1OcgaTByWKnw.jpg
100,City Hall (1996),Drama|Thriller,/g6JjdkmdElHIoNVaEso0BmjRDQT.jpg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,/wOPiNYt9V3Cbr9Izeddwj7nU8RT.jpg
102,Mr. Wrong (1996),Comedy,/yGbPzJ5hib2TFi0Rkb6JH8webaL.jpg
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,/500Ne3EDn3HHpuCQWwGKR74r0cB.jpg
104,Happy Gilmore (1996),Comedy,/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg
105,"Bridges of Madison County, The (1995)",Drama|Romance,/8TfLAfIh5Qxp2J4ZjOafHYhWtDb.jpg
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,/bIUC0c0cnIULgQrExGfoAZgKF5v.jpg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,/8UL6EcZGO1ssD60azzOtUPjnOZI.jpg
108,Catwalk (1996),Documentary,/sQ2dk0qd3rhfT1776GcFnLj4s1U.jpg
110,Braveheart (1995),Action|Drama|War,/or1gBugydmjToAEq7OZY0owwFk.jpg
111,Taxi Driver (1976),Crime|Drama|Thriller,/ekstpH614fwDX8DUln1a2Opz0N8.jpg
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg
113,Before and After (1996),Drama|Mystery,/uopIJpEI7yAxpnD4SR26VfKQgHJ.jpg
116,Anne Frank Remembered (1995),Documentary,/6nyhzrSGimCbdxiY8DEO7kI7xx4.jpg
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,/rM6yyxj77tZBL7JBkPCkXMSnAhs.jpg
118,If Lucy Fell (1996),Comedy|Romance,/ig5LhLEnlt7QCyYjgui082fO4ih.jpg
119,"Steal Big, Steal Little (1995)",Comedy,/tCtsiQwW9iRs36OML5z9nmPFci0.jpg
121,"Boys of St. Vincent, The (1992)",Drama,/3jVid7Zjte2iDTa9I3e4LrRoaD1.jpg
122,Boomerang (1992),Comedy|Romance,/cc9YAZq5NXiIEJsHjW7p2FaHQkp.jpg
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg
125,Flirting With Disaster (1996),Comedy,/sRRdVLuxk8OLCDRd4u4xDrDdwv7.jpg
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,/o75HHfr23sgeqIeUPwjKY0V9Ppi.jpg
128,Jupiter's Wife (1994),Documentary,
129,Pie in the Sky (1996),Comedy|Romance,/iZs2BzP1nbrcHCDX3QEHa3Nn0y4.jpg
132,Jade (1995),Thriller,/lPkDrz6e5DWkKailsx3mIjtq0GF.jpg
135,Down Periscope (1996),Comedy,/tYdGWz9oncuhqxn5eAK5CpjCiYo.jpg
137,Man of the Year (1995),Documentary,/jVO3Gvsdqe5C9Jr7cE1fSOtW2Op.jpg
140,Up Close and Personal (1996),Drama|Romance,/2yf1pCiQk6JMy4k5zxf39YXQxGB.jpg
141,"Birdcage, The (1996)",Comedy,/bEyK1K1EgWapeKgkcOLC1ejl9nj.jpg
144,"Brothers McMullen, The (1995)",Comedy,/6oWsOJP0ed5gs8n2UywcailoxFN.jpg
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,/tIK40vCE9i8g4VhyJ3LLr5y1ROJ.jpg
147,"Basketball Diaries, The (1995)",Drama,/AhvO1GGDPIgN0hOqZEgaFCbswMK.jpg
148,"Awfully Big Adventure, An (1995)",Drama,/i7ufwiXoFaf8eIk4rS4U2IBZk3b.jpg
149,Amateur (1994),Crime|Drama|Thriller,/vUgcNFptpK2YgotwhZJ8HmsvbKZ.jpg
150,Apollo 13 (1995),Adventure|Drama|IMAX,/jokiCLdNS58eJTALfNcerQRhwAo.jpg
151,Rob Roy (1995),Action|Drama|Romance|War,/oyOR8EygIDY7s2ubQyajulWsj9D.jpg
152,"Addiction, The (1995)",Drama|Horror,/ps0vYKN5YQz5zTLZac6FayUaHbg.jpg
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,/k6EQ2OewzjF8TcPgok9wxpPAgXW.jpg
154,Beauty of the Day (Belle de jour) (1967),Drama,/jiz91yDheKGIE3tubFnXzYxTyhh.jpg
155,Beyond Rangoon (1995),Adventure|Drama|War,/aVYw8aQs9599aWzoSswQvgNoCat.jpg
156,Blue in the Face (1995),Comedy|Drama,/yBFNJA95MNiasdNUPCU6otdtJE8.jpg
157,Canadian Bacon (1995),Comedy|War,/bzK2aQ8xUB67kwCR5LHTSY99HtT.jpg
158,Casper (1995),Adventure|Children,/2ah8fNJFZVU3vcXhU5xfAYi2eym.jpg
159,Clockers (1995),Crime|Drama|Mystery,/c79uqLJleho2a7OQayfrW5Ypphf.jpg
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,/9mqMitlulCpsttWr2fVzXFlbPKm.jpg
161,Crimson Tide (1995),Drama|Thriller|War,/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg
162,Crumb (1994),Documentary,/q3fFSO9jZkbLVjMtw47nAdOftnd.jpg
163,Desperado (1995),Action|Romance|Western,/aHCdcvFHlp9l6nQ2MBtUFxpr3rt.jpg
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,/t1U5mJv7vQSlfJNOjXWRgmaGMhz.jpg
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,/sOqB9iMEcbGhAgH70dbs8U58UW5.jpg
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,/mcISIatRSaP30WZQh1G4ZqLVWQA.jpg
168,First Knight (1995),Action|Drama|Romance,/hedLC2ayCktOBKi1KP0x65GisHU.jpg
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,/dmf2us4DEouKac7nIRfvonz1mFt.jpg
170,Hackers (1995),Action|Adventure|Crime|Thriller,/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg
171,Jeffrey (1995),Comedy|Drama,/tHcKImp3QqG7UWdv3PzEHZX8oHT.jpg
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,/hgbKblYKyXsmy2Bx00eMjhfb4hU.jpg
173,Judge Dredd (1995),Action|Crime|Sci-Fi,/aja6BILb8Efe4eJksiPs5pHd5ai.jpg
174,Jury Duty (1995),Comedy,/DbKQDPqBE4kCaePj4CHu6r3ZAb.jpg
175,Kids (1995),Drama,/8qV8hUVCUnFIQKewzlhaFWhdszK.jpg
176,Living in Oblivion (1995),Comedy,/b54xDk98oWtEtAso9sj1wjaZDDH.jpg
177,Lord of Illusions (1995),Horror,/9OPWwSxchtS9NnQbftv9JP5ADcl.jpg
178,Love & Human Remains (1993),Comedy|Drama,/voOe21GJ53KBJeG0NIeLS5QEzJX.jpg
179,Mad Love (1995),Drama|Romance,/6B3aIJcGWBUzNvMkjuRZU4PUQjT.jpg
180,Mallrats (1995),Comedy|Romance,/q5xdLX9qZmKgrKFIjVsaTlfVQbC.jpg
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,/h18blchYYeoAfQHsEMGYUNbht0C.jpg
183,Mute Witness (1994),Comedy|Horror|Thriller,/iINFao9V9XLytpPfLorhjU2V9mb.jpg
184,Nadja (1994),Drama,/sIZl6Oy5nn4kHKHamX50tSPF4Ob.jpg
185,"Net, The (1995)",Action|Crime|Thriller,/dtupntUFMD5iXBo8HLfALt2ET4R.jpg
186,Nine Months (1995),Comedy|Romance,/z1nzYuoeTbGBrSicDxJEhJhEQz8.jpg
187,Party Girl (1995),Comedy,/cfGEUftQVjvJHTTc3OKbzfsBamT.jpg
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,/4ZWFhQipzBHJze2llzCzhrSIZsn.jpg
189,Reckless (1995),Comedy|Fantasy,/edNTtl2UuKcU8vXEaYgu76vISXw.jpg
190,Safe (1995),Thriller,/3Rgjajh3biiK5ABKkGoqfy54bMs.jpg
191,"Scarlet Letter, The (1995)",Drama|Romance,/1qn64QSxt32c7pTxtSZQGNRc97R.jpg
193,Showgirls (1995),Drama,/wIHiWN7kCELUZzbCMpMcxNC8HlS.jpg
194,Smoke (1995),Comedy|Drama,/phvnN7OPEnlHoAZe8nsSqPDD8B0.jpg
195,Something to Talk About (1995),Comedy|Drama|Romance,/a52KpsmvLNdTdmDzw1fUrJONpfH.jpg
196,Species (1995),Horror|Sci-Fi,/gdecEu7TvWkMIg5gGEHL5dkZYuh.jpg
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,/rY5BrDRcYAKE0BYmmT66YG6Uy5Q.jpg
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,/jgB88XoKb3uOPPvGKNuE9wuaxDE.jpg
201,Three Wishes (1995),Drama|Fantasy,/qY1Mz8bPGKYmrb4kY1zm7s4480V.jpg
202,Total Eclipse (1995),Drama|Romance,/e0j1zDF3ITeTbGTXFGamosCxT4z.jpg
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,/8bkJiI6N8wDxAtQ49bLUt0qCBII.jpg
204,Under Siege 2: Dark Territory (1995),Action,/gElwFCQTbSK5hdK0PVyia547nst.jpg
205,Unstrung Heroes (1995),Comedy|Drama,/cFgF5so3GFsOg2HzrEXMZxLohHK.jpg
206,Unzipped (1995),Documentary,/dnIzv4rXr9FXkqW880E3rStYQA7.jpg
207,"Walk in the Clouds, A (1995)",Drama|Romance,/tIvDOmWlbQYiFdwQXel5on5qjR9.jpg
208,Waterworld (1995),Action|Adventure|Sci-Fi,/f4Q6BKm1lv9u5xoffbIIwrOYf6z.jpg
209,White Man's Burden (1995),Drama,/pIgCFucYI0YvnMR35zV12YY0NHc.jpg
210,Wild Bill (1995),Western,/g5sQTDwc4BcvRCBAhnujhBPIEO1.jpg
211,"Browning Version, The (1994)",Drama,/8My9Wnzu1zasVVzGdDj5y2dItuM.jpg
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,/633lvR1OdQDonTUDcBIOHUS5Twh.jpg
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,/4zsq30Zj9iAeqejEkkmclL7VnwV.jpg
214,Before the Rain (Pred dozhdot) (1994),Drama|War,/e3oPylXb2nnoE5fVLaehi1Jaxsa.jpg
215,Before Sunrise (1995),Drama|Romance,/6KWnXYoV1htDT3TGYdFWucfTt6t.jpg
216,Billy Madison (1995),Comedy,/sOdgtJdFalL9kRKaeJItARLTAEq.jpg
217,"Babysitter, The (1995)",Drama|Thriller,/wOv6HKiKTcDiyZRXPOsjm2JhVZV.jpg
218,Boys on the Side (1995),Comedy|Drama,/2dhZnfBjiza5TupvOupRU4hFAcJ.jpg
219,"Cure, The (1995)",Drama,/3WN1H5NzLOjhY9AP848v8WPc9uu.jpg
220,Castle Freak (1995),Horror,/rZv3aUkNngyZeiCgAjOEF5n0tve.jpg
222,Circle of Friends (1995),Drama|Romance,/53Ca41RdAOLiPbIoiNqpKBiAxRu.jpg
223,Clerks (1994),Comedy,/pAWnnz8qPmTygCjkOCGSAMQ6AJ4.jpg
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg
225,Disclosure (1994),Drama|Thriller,/m10Sx3ikuXhJomFnN3OYpkBpYEc.jpg
227,Drop Zone (1994),Action|Thriller,/bbveyfmq6pGrzKL0l4waeA2WHHp.jpg
228,Destiny Turns on the Radio (1995),Comedy,/kd04IvuW1wvgGoB2HxSuFVIU9rU.jpg
229,Death and the Maiden (1994),Drama|Thriller,/tt9svTxy7I9NFFVtm8cwEWYzuc8.jpg
230,Dolores Claiborne (1995),Drama|Thriller,/gfCh3TEQNEoro8lq21y4zYIic4D.jpg
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,/4LdpBXiCyGKkR8FGHgjKlphrfUc.jpg
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,/ktdCBg2Xq2Ry0fuJYT4izktM2Hg.jpg
233,Exotica (1994),Drama,/pWcJdcIHjL3P6NaEJKeV6ONfAMV.jpg
234,Exit to Eden (1994),Comedy,/bRXoRacBdOeOXJNjnTq8RgTiDyt.jpg
235,Ed Wood (1994),Comedy|Drama,/mwIpZTVgnHl08RvNFvgHCINR8BL.jpg
236,French Kiss (1995),Action|Comedy|Romance,/5u4eWdWI083k8tdXmjTGbFsI3YV.jpg
237,Forget Paris (1995),Comedy|Romance,/xYyTAd8OwMHb60KKXfaYO6VvcoL.jpg
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,/nSi2Q6SEDMkEJZFJieJVGTjmWsi.jpg
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,/bycmMhO3iIoEDzP768sUjq2RV4T.jpg
240,Hideaway (1995),Thriller,/mN4h9CMASS6QuEWtx59ZCtzTLyj.jpg
241,Fluke (1995),Children|Drama,/k7BHqoTWJPpoSpfCzzUjAduuIbX.jpg
242,Farinelli: il castrato (1994),Drama|Musical,/2c50a5JGhhi3B55jtAkkp31PsNk.jpg
243,Gordy (1995),Children|Comedy|Fantasy,/eQEyTkUBXOvvTlScjLqoFgB0zsN.jpg
246,Hoop Dreams (1994),Documentary,/7qHwh3mFJs7ldwzGSWsBLmgecfj.jpg
247,Heavenly Creatures (1994),Crime|Drama,/RNxP8i7w7W9yHVEnTJdYKUCH6R.jpg
248,Houseguest (1994),Comedy,/cdiHlZho11EEqD3aPanYe1rEYRB.jpg
249,Immortal Beloved (1994),Drama|Romance,/meRFVzGpBJiObWfdtOoNr0UPsP4.jpg
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,/bUOjH03oENjUNRrxi6FVxZ2ptGF.jpg
251,"Hunted, The (1995)",Action,/pkpduFxU2H2j4m02haOonlHEBxN.jpg
252,I.Q. (1994),Comedy|Romance,/1dLR9LX4O8DSyaU5OR3N0472IR.jpg
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,/t7NU8IcmcNBrlunCxiycX9JV7Rp.jpg
254,Jefferson in Paris (1995),Drama,/5rbb3tJTPM86cSALPCZz0yx9IxC.jpg
255,"Jerky Boys, The (1995)",Comedy,/yUbdqyZaeaoNKBQmnmtim1IIAf1.jpg
256,Junior (1994),Comedy|Sci-Fi,/kWm9N2795QEeFJ4Xvbjlwa7hS1l.jpg
257,Just Cause (1995),Mystery|Thriller,/z8WqDIUC00TPX6U24ah0C7IMEKf.jpg
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,/y269Xj4nOi4YHOKT241c4xubgGv.jpg
259,Kiss of Death (1995),Crime|Drama|Thriller,/2cCxEqeIy6Q8HgVjfT7obOnF5Zi.jpg
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
261,Little Women (1994),Drama,/1ZzH1XMcKAe5NdrKL5MfcqZHHsZ.jpg
262,"Little Princess, A (1995)",Children|Drama,/1bK5wt5eHeWTGHsrEpahRG6HFI6.jpg
263,Ladybird Ladybird (1994),Drama,/91KSK1xKdVEIDASKRo9ahBFCtM2.jpg
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,/5SSdyjkNMdoHTUC8qJuYselOqe7.jpg
266,Legends of the Fall (1994),Drama|Romance|War|Western,/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg
267,Major Payne (1995),Comedy,/kWHx5eq7PELkF3If7LrrhuBskRG.jpg
269,My Crazy Life (Mi vida loca) (1993),Drama,/cSCV25dOBMtQMixsUJYTLB7YjCK.jpg
270,Love Affair (1994),Drama|Romance,/A7Ex1CSjfCYUgornOiJTJkJkw0A.jpg
271,Losing Isaiah (1995),Drama,/ySu9LMUlrt7kSUvyVO7MldY3rNA.jpg
272,"Madness of King George, The (1994)",Comedy|Drama,/pnAPAcUHpUQ9v8PXZtMTnbovc7x.jpg
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,/bOwCAQsZlEKrwhPi1ejY6BS8jpL.jpg
274,Man of the House (1995),Comedy,/6bnOhhrrrq6RZhMgz4aGyqbJ9Wf.jpg
275,Mixed Nuts (1994),Comedy,/rI5oZR0ov3ki72Gy1QDM8XJ43mo.jpg
276,Milk Money (1994),Comedy|Romance,/i3ux7MFNY2jt8JEo0Rt7yfsdf2N.jpg
277,Miracle on 34th Street (1994),Drama,/sWjL1zD0XjQrOTP9jLiAbzvBKEW.jpg
278,Miami Rhapsody (1995),Comedy,/kDdwB3lnrmhZaCk9m01Q1hDtOxj.jpg
279,My Family (1995),Drama,/xHqmWBuFoQVKvGKiSgyYyU1AK1V.jpg
280,Murder in the First (1995),Drama|Thriller,/AqNdkAFweodjsAPWwwOfOrwET8W.jpg
281,Nobody's Fool (1994),Comedy|Drama|Romance,/yTpm5R28mDWYS3tSvYdU5wNenC8.jpg
282,Nell (1994),Drama,/6WZFYXMFFwNS0AmTd3deCLXjt10.jpg
283,New Jersey Drive (1995),Crime|Drama,/lXJWJT6lfAg2NEqEueJcI4ESWSG.jpg
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,/5kXO783UrTaKZE3wn0KZv3RubZc.jpg
285,Beyond Bedlam (1993),Drama|Horror,/rqArVCgag2ng179rb3OXeEnS4Lo.jpg
287,Nina Takes a Lover (1994),Comedy|Romance,
288,Natural Born Killers (1994),Action|Crime|Thriller,/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg
289,Only You (1994),Comedy|Romance,/o50uPBX4FcfFDvMGZEaLitFjXKa.jpg
290,Once Were Warriors (1994),Crime|Drama,/dWhIVm3TlYjis05HB1jm6D26d2o.jpg
291,Poison Ivy II (1996),Drama|Thriller,/jXLuQYRwWNuwW8dkx3zo5bWon2r.jpg
